Player Name,Team,WKT,MAT,INN,OVR,RUNS,BBI,AVG,ECO,SR,4W,5W
Prasidh Krishna,GT,25,15,15,59,488,41/4,19.52,8.27,14.16,1,0
Noor Ahmad,CSK,24,14,14,50,408,18/4,17,8.16,12.5,2,0
Josh Hazlewood,RCB,22,12,12,44,386,33/4,17.54,8.77,12,1,0
Trent Boult,MI,22,16,16,57.4,517,26/4,23.5,8.96,15.72,1,0
Arshdeep Singh,PBKS,21,17,16,58.2,518,16/3,24.66,8.88,16.66,0,0
Sai Kishore,GT,19,15,15,42.3,393,30/3,20.68,9.24,13.42,0,0
Jasprit Bumrah,MI,18,12,12,47.2,316,22/4,17.55,6.67,15.77,1,0
Varun Chakaravarthy,KKR,17,13,13,50,383,22/3,22.52,7.66,17.64,0,0
Krunal Pandya,RCB,17,15,15,46,379,45/4,22.29,8.23,16.23,1,0
Bhuvneshwar Kumar,RCB,17,,14,52,483,33/3,28.41,9.28,18.35,0,0
Vaibhav Arora,KKR,17,12,12,42.3,430,29/3,25.29,,15,0,0
Pat Cummins,SRH,16,14,14,49.4,450,19/3,28.12,9.06,18.62,0,0
Marco Jansen,PBKS,16,14,14,47.1,434,17/3,27.12,9.2,17.68,0,0
Mohammed Siraj,GT,16,15,15,57,527,17/4,32.93,9.24,21.37,1,0
Yuzvendra Chahal,PBKS,16,14,13,45,430,28/4,26.87,9.55,16.87,2,0
Harshal Patel,SRH,,13,13,43.5,430,28/4,26.87,9.8,16.43,2,0
Kuldeep Yadav,DC,15,14,13,51,,22/3,24.06,7.07,,0,0
Khaleel Ahmed,CSK,15,14,14,46.4,447,29/3,29.8,9.57,18.66,0,0
Harshit Rana,KKR,15,13,13,44,448,25/3,29.86,10.18,17.6,0,0
Digvesh Singh,LSG,14,13,13,52,429,30/2,30.64,8.25,22.28,0,0
Hardik Pandya,MI,14,15,14,35,342,36/5,24.42,9.77,15,0,1
Mitchell Starc,DC,14,11,10,36,366,35/5,26.14,10.16,15.42,0,1
Eshan Malinga,SRH,13,7,7,26.4,238,31/3,18.3,8.92,12.3,0,0
Yash Dayal,RCB,13,15,15,49,470,18/2,36.15,9.59,22.61,0,0
Matheesha Pathirana,CSK,13,12,12,41.5,424,36/3,32.61,10.13,19.3,0,0
Avesh Khan,LSG,13,13,13,47.2,487,37/3,37.46,10.28,21.84,0,0
Shardul Thakur,LSG,13,10,10,34,375,34/4,28.84,11.02,15.69,1,0
Sunil Narine,KKR,,12,12,45,351,13/3,29.25,7.8,22.5,0,0
Mukesh Kumar,DC,12,12,12,39.3,408,33/4,34,10.32,19.75,1,0
Jaydev Unadkat,SRH,11,7,7,23.5,175,24/3,15.9,7.34,13,0,0
Wanindu Hasaranga,RR,11,11,11,41,371,35/4,33.72,9.04,22.36,1,0
Vipraj Nigam,DC,11,14,13,39,356,18/2,32.36,9.12,21.27,0,0
Deepak Chahar,MI,11,14,14,41,376,2-Dec,34.18,9.17,22.36,0,0
Jofra Archer,RR,11,12,12,45.3,431,25/3,39.18,9.47,24.81,0,0
Maheesh Theekshana,RR,11,11,11,42,410,26/2,37.27,9.76,22.9,0,0
Ashwani Kumar,MI,11,7,7,20.3,232,24/4,21.09,11.31,11.18,1,0
